REPORTNUMBER,LATITUDE,LONGITUDE
9760-2017-0002,34.440978,-119.766239
9375-2016-7138,37.694065,-122.047994
9645-2016-7664,32.818197,-117.22517
9830-2016-3220,35.164069,-118.473291
9465-2016-4553,37.617029,-120.987951
9260-2016-11605,38.56785,-121.332488
9525-2016-13518,34.135543,-117.968393
9725-2017-00041,37.140413,-121.640327
9525-2016-13508,34.120126,-117.869023
9650-2016-10162,33.097255,-117.306552
9260-2016-9104,38.643499,-121.109404
9645-2016-7447,32.7132,-117.136816
9865-2016-3331,34.232077,-117.139909
9265-2016-09808,37.740362,-121.122282
9465-2016-4550,37.531544,-120.890108
9126-2017-0003,40.003451,-123.783225
9725-2017-00031,37.103587,-121.610227
9375-2016-6931,37.692623,-122.062877
9550-2017-0001,34.029083,-118.011958
9525-2016-13600,33.99951,-117.850382
9151-2016-3249,38.975582,-122.842243
9420-2017-0017,35.352689,-119.041074
